rank,rating,title,movieyear,votes,gross,budget,
173,8.1,Network,1976,69929,23689877,
174,8.1,The Terminator,1984,378300,78019031,
175,8.1,Million Dollar Baby,2004,303571,232016402,
176,8.1,There Will Be Blood,2007,252241,77208711,
177,8.1,Ben-Hur,1959,106455,73000000,
178,8.1,The Night of the Hunter,1955,44437,0,795000,
179,8.1,The Big Sleep,1946,47119,0,0,
180,8.1,The King's Speech,2010,288159,430821166,
181,8.1,Stand by Me,1986,182230,52287414,
182,8.1,The 400 Blows,1959,46028,0,0,
183,8.1,Twelve Monkeys,1995,316945,168841459,
184,8.1,Groundhog Day,1993,282250,70906973,
185,8,Donnie Darko,2001,398128,7696529,
186,8,Dog Day Afternoon,1975,126624,0,0,
187,8,Amores Perros,2000,120868,20883834,
188,8,Howl's Moving Castle,2004,121059,235184110,0,
189,8,Mary and Max,2009,67759,AUD 156169,AUD 8240000,
190,8,Gandhi,1982,110584,52767889,
191,8,The Bourne Ultimatum,2007,322172,442161562,
192,8,A Beautiful Mind,2001,344294,317668058,
193,8,Persona,1966,36479,0,0,
194,8,The Killing,1956,44571,269337,320000,
195,8,The Graduate,1967,149389,114945305,3000000,
196,8,Rush,2013,28676,95224595,
197,8,Black Swan,2010,373745,331266710,
198,8,The Princess Bride,1987,207589,30857000,
199,8,Who's Afraid of Virginia Woolf?,1966,38192,40000000,7500000,
200,8,The Hustler,1961,43710,7600000,
201,8,The Man Who Shot Liberty Valance,1962,39917,8000000,
202,8,La Strada,1954,32409,0,0,
203,8,Anatomy of a Murder,1959,32242,0,0,
204,8,8½,1963,54451,50690,0,
205,8,The Manchurian Candidate,1962,53501,96148711,
206,8,Rocky,1976,220323,225000000,
207,8,The Exorcist,1973,213984,402735134,
208,8,Slumdog Millionaire,2008,425904,384519665,
209,8,In the Name of the Father,1993,65291,65796862,13000000,
210,8,Stalag 17,1953,33518,10000000,1661530,
211,8,Rope,1948,66041,0,1500000,
212,8,The Wild Bunch,1969,51331,509424,
213,8,Barry Lyndon,1975,69583,20000000,
214,8,Monsters. Inc.,2001,328336,559757719,
215,8,Fanny and Alexander,1982,27430,4971340,0,
216,8,Infernal Affairs,2002,63858,8708932,0,
217,8,The Truman Show,1998,407875,248400000,
218,8,Roman Holiday,1953,63443,12000000,1500000,
219,8,Life of Pi,2012,246325,607987022,
220,8,Pirates of the Caribbean: The Curse of the Black Pearl,2003,519625,634954103,
221,8,Memories of Murder,2003,33873,14131,0,
222,8,All Quiet on the Western Front,1930,38373,3270000,1448864,
223,8,Harry Potter and the Deathly Hallows: Part 2,2011,303847,1328111219,
224,8,Sleuth,1972,30643,0,0,
225,8,Stalker,1979,43524,0,0,
226,8,Jurassic Park,1993,344256,1035626977,
227,8,A Streetcar Named Desire,1951,60767,8000000,
228,8,Star Trek,2009,362442,385680446,
229,8,Ratatouille,2007,316890,626549695,
